,close
2025-10-13,20058.3
2025-10-14,19906.15
2025-10-15,20083.35
2025-10-16,20172.7
2025-10-17,20085.35
2025-10-20,20207.85
2025-10-21,20285.5
2025-10-23,20249.35
2025-10-24,20209.0
2025-10-27,20358.8
2025-10-28,20364.6
2025-10-29,20472.7
2025-10-30,20446.2
2025-10-31,20340.95
2025-11-03,20492.65
2025-11-04,20397.2
2025-11-06,20162.85
2025-11-07,20207.3
2025-11-10,20266.8
2025-11-11,20314.65
2025-11-12,20468.45
2025-11-13,20396.85
2025-11-14,20414.7
2025-11-17,20553.2
2025-11-18,20397.15
2025-11-19,20410.25
2025-11-20,20398.75
2025-11-21,20158.8
2025-11-24,20071.2
2025-11-25,20112.5
2025-11-26,20362.7
2025-11-27,20338.45
2025-11-28,20308.2
2025-12-01,20310.2
2025-12-02,20252.9
2025-12-03,20104.3
2025-12-04,20082.2
2025-12-05,20097.65
2025-12-08,19716.55
2025-12-09,19832.8
2025-12-10,19663.6
2025-12-11,19812.95
2025-12-12,20023.65
2025-12-15,20038.8
2025-12-16,19884.2
2025-12-17,19763.85
2025-12-18,19783.95
2025-12-19,20024.6
2025-12-22,20199.2
2025-12-23,20242.6
2025-12-24,20183.25
2025-12-26,20136.7
2025-12-29,20046.45
2025-12-30,20009.15
2025-12-31,20217.5
2026-01-01,20265.5
2026-01-02,20443.85
2026-01-05,20449.55
2026-01-06,20401.25
2026-01-07,20468.6
2026-01-08,20078.75
2026-01-09,19846.5
2026-01-12,19779.55
2026-01-13,19804.7
2026-01-14,19865.1
2026-01-16,19839.15
2026-01-19,19705.4
2026-01-20,19202.9
2026-01-21,19025.6
2026-01-22,19237.4
2026-01-23,18891.85
2026-01-27,18970.65
2026-01-28,19296.7
2026-01-29,19306.35
2026-01-30,19365.95
2026-02-02,19115.5
2026-02-03,19674.7
2026-02-04,19804.05
2026-02-05,19693.5
2026-02-06,19668.05
2026-02-09,20041.8
2026-02-10,20127.6
2026-02-11,20138.85
2026-02-12,20022.35
2026-02-13,19694.05
2026-02-16,19746.5
2026-02-17,19832.85
2026-02-18,19938.45
2026-02-19,19651.6
2026-02-20,19702.0
2026-02-23,19709.2
2026-02-24,19632.85
2026-02-25,19758.3
2026-02-26,19839.65
2026-02-27,19627.5
2026-03-02,19281.25
2026-03-04,18863.15
2026-03-05,19144.05
2026-03-06,19039.9
2026-03-09,18633.05
2026-03-10,18963.9
2026-03-11,18795.85
2026-03-12,18742.0
2026-03-13,18239.35
2026-03-16,18172.95
2026-03-17,18332.55
2026-03-18,18668.8
2026-03-19,18122.05
2026-03-20,18208.55
2026-03-23,17510.35
2026-03-24,17941.9
2026-03-25,18370.75
2026-03-27,17988.25
2026-03-30,17524.35
2026-04-01,17975.45
2026-04-02,17927.05
2026-04-06,18163.05
2026-04-07,18183.05
2026-04-08,18901.35
2026-04-09,18943.45
2026-04-10,19246.65
2026-04-13,19146.15
2026-04-15,19575.3
2026-04-16,19717.35
2026-04-17,19974.35
